0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:09 +0530] "POST /proj4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:09 +0530] "GET /proj4/UserRegistrationCtl HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:09 +0530] "GET /proj4/js/calendar.js HTTP/1.1" 404 954
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:09 +0530] "GET /proj4/js/calendar.js HTTP/1.1" 404 954
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:18 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 1963
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:47 +0530] "GET /proj4/LoginCtl HTTP/1.1" 200 3164
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:50 +0530] "POST /proj4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:50 +0530] "GET /proj4/ctl/MarksheetCtl HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:27:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:28 +0530] "GET /proj4/ctl/MyProfileCtl HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:32 +0530] "GET /proj4/ctl/ChangePasswordCtl HTTP/1.1" 200 5306
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:41 +0530] "GET /proj4/ctl/GetMarksheetCtl HTTP/1.1" 200 4550
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:49 +0530] "GET /proj4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:51 +0530] "GET /proj4/ctl/MarksheetCtl HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:28:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:18 +0530] "GET /proj4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:20 +0530] "GET /proj4/ctl/MarksheetCtl HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:23 +0530] "GET /proj4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 954
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:23 +0530] "GET /proj4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 954
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:23 +0530] "GET /proj4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 954
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:30 +0530] "GET /proj4/ctl/TimetableListCtl HTTP/1.1" 200 10408
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:36 +0530] "POST /proj4/ctl/TimetableListCtl HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:38 +0530] "POST /proj4/ctl/TimetableListCtl HTTP/1.1" 200 10408
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:39 +0530] "GET /proj4/ctl/SubjectListCtl HTTP/1.1" 200 9235
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:40 +0530] "GET /proj4/ctl/FacultyCtl HTTP/1.1" 200 10501
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:42 +0530] "GET /proj4/ctl/FacultyListCtl HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:44 +0530] "POST /proj4/ctl/FacultyListCtl HTTP/1.1" 200 7888
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:46 +0530] "GET /proj4/ctl/GetMarksheetCtl HTTP/1.1" 200 4550
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:50 +0530] "GET /proj4/ctl/UserListCtl HTTP/1.1" 200 9649
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:53 +0530] "GET /proj4/ctl/UserListCtl HTTP/1.1" 200 9649
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:55 +0530] "GET /proj4/ctl/CollegeCtl HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:57 +0530] "GET /proj4/ctl/CollegeListCtl HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:30:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:31:15 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:31:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:31:16 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:31:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:31:16 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:31:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:31:16 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:31:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:31:49 +0530] "GET /proj4/ctl/MyProfileCtl HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:31:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:31:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:32:03 +0530] "POST /proj4/ctl/MyProfileCtl HTTP/1.1" 200 7121
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:32:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:32:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:36:48 +0530] "GET /proj4/ctl/GetMarksheetCtl HTTP/1.1" 200 4550
