127.0.0.1 - - [10/Jan/2022:23:29:37 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:38 +0530] "GET /proj4/ HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:40 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 1963
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:44 +0530] "GET /proj4/LoginCtl HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:48 +0530] "POST /proj4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:48 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:51 +0530] "GET /proj4/ctl/GetMarksheetCtl HTTP/1.1" 200 4550
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:54 +0530] "GET /proj4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:56 +0530] "GET /proj4/ctl/MarksheetCtl HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [10/Jan/2022:23:29:58 +0530] "GET /proj4/ctl/MarksheetListCtl HTTP/1.1" 200 10168
